ID,lsoa01cd,lsoa01nm,mh_crude_tot,mh_tot
70,E01000070,Barking and Dagenham 011D,217,-0.851772376
71,E01000071,Barking and Dagenham 011E,308,-0.355359938
72,E01000072,Barking and Dagenham 017E,430,0.310160035
73,E01000073,Barking and Dagenham 012B,474,0.550183631
74,E01000074,Barking and Dagenham 012C,373,-0.000779624
75,E01000075,Barking and Dagenham 012D,320,-0.289898957
76,E01000076,Barking and Dagenham 012E,447,0.402896424
77,E01000077,Barking and Dagenham 008F,347,-0.14261175
78,E01000078,Barking and Dagenham 007B,320,-0.289898957
79,E01000079,Barking and Dagenham 009E,395,0.119232174
80,E01000080,Barking and Dagenham 007C,339,-0.186252404
81,E01000081,Barking and Dagenham 007D,308,-0.355359938
82,E01000082,Barking and Dagenham 007E,322,-0.278988793
83,E01000083,Barking and Dagenham 007F,279,-0.513557308
84,E01000084,Barking and Dagenham 013D,327,-0.251713385
85,E01000085,Barking and Dagenham 013E,420,0.255609217
86,E01000086,Barking and Dagenham 013F,915,2.955874678
87,E01000087,Barking and Dagenham 020B,362,-0.060785524
88,E01000088,Barking and Dagenham 020C,656,1.543008508
89,E01000089,Barking and Dagenham 020D,254,-0.649934351
90,E01000090,Barking and Dagenham 020E,229,-0.786311395
91,E01000091,Barking and Dagenham 022A,473,0.544728549
92,E01000092,Barking and Dagenham 019E,265,-0.589928452
93,E01000093,Barking and Dagenham 022B,446,0.397441343
94,E01000094,Barking and Dagenham 022C,231,-0.775401231
95,E01000095,Barking and Dagenham 018E,260,-0.617203861
96,E01000096,Barking and Dagenham 022D,271,-0.557197962
97,E01000097,Barking and Dagenham 005D,459,0.468357405
98,E01000098,Barking and Dagenham 005E,365,-0.044420278
99,E01000099,Barking and Dagenham 005F,290,-0.453551409
100,E01000100,Barking and Dagenham 004B,373,-0.000779624
101,E01000101,Barking and Dagenham 004C,477,0.566548876
102,E01000102,Barking and Dagenham 007G,416,0.23378889
103,E01000103,Barking and Dagenham 014A,268,-0.573563207
104,E01000104,Barking and Dagenham 014B,362,-0.060785524
105,E01000105,Barking and Dagenham 014C,522,0.812027555
106,E01000106,Barking and Dagenham 014D,523,0.817482636
107,E01000107,Barking and Dagenham 010C,362,-0.060785524
108,E01000108,Barking and Dagenham 010D,396,0.124687256
109,E01000109,Barking and Dagenham 004D,304,-0.377180265
110,E01000110,Barking and Dagenham 002C,291,-0.448096327
111,E01000111,Barking and Dagenham 002D,334,-0.213527812
112,E01000112,Barking and Dagenham 002E,239,-0.731760578
113,E01000113,Barking and Dagenham 002F,207,-0.906323193
114,E01000114,Barking and Dagenham 004E,265,-0.589928452
115,E01000115,Barnet 009A,286,-0.475371736
116,E01000116,Barnet 009B,242,-0.715395332
117,E01000117,Barnet 010A,194,-0.977239256
118,E01000118,Barnet 010B,317,-0.306264202
119,E01000119,Barnet 009C,171,-1.102706136
120,E01000120,Barnet 009D,159,-1.168167117
121,E01000121,Barnet 010C,1096,3.943244473
122,E01000122,Barnet 009E,201,-0.939053684
123,E01000123,Barnet 010D,276,-0.529922553
124,E01000124,Barnet 010E,336,-0.202617649
125,E01000125,Barnet 024A,599,1.232068849
126,E01000126,Barnet 026A,240,-0.726305496
127,E01000127,Barnet 024B,408,0.190148236
128,E01000128,Barnet 024C,279,-0.513557308
129,E01000129,Barnet 024D,783,2.235803889
